0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
0000100011111100;0000000000010010;1000000000000011;1000000000010100;1000000000001001;0000000000110000;0000000000000110;1000000000001001;1000000000011101;1000000000011000;0000000000110110;1000000000011000;0000000000110000;0000000000001010;1000000000011000;1000000000000110;0000000000110000;1000000000011000;1000000000001010;0000000000100010;1000000000110000;0000000000101000;1000000000100100;1000000000100100;0000000000101111;0000000000001100;0000000000100010;0000000000100100;1000000000011000;1000000000110000;1000000000000110;0000000000100100;1000000000110000;0000000000100100;0000000000001111;1000000000000110;0000000000010010;0000000000110010;1000000000100100;0000000000000110;0000000000001100;1000000000101000;0000000000100100;1000000000101000;0000000000001010;1000000000110000;0000000000111010;0000000000010000;0000000000000100;0000000000101011;1000000000000000;1000000000010010;0000000000110000;1000000000001100;0000000000001010;0000000000000000;1000000000101000;1000000000111100;1000000000011000;1000000000011000;1000000000110000;0000000000001010;1000000000011000;0000000000000000;1000000000010010;0000000000000110;1000000000011000;1000000000101000;0000000000011000;1000000000101111;1000000000100010;1000000000100010;1000000000110000;1000000000110000;1000000000001100;1000000000101100;0000000000010100;0000000000100111;0000000000110000;0000000000010010;1000000000011000;0000000000010010;0000000000100100;1000000000011000;1000000000000011;0000000000100010;0000000000100001;0000000000110000;1000000000100010;1000000000100100;1000000000100010;0000000000100000;1000000000010100;0000000000101000;0000000000010111;0000000000110000;1000000000101000;1000000000010010;0000000000101000;1000000000101000
0001001000011000;1110000001000100;1000000000010010;0000000000011000;0000000000001100;0000000000110000;1000000000100100;1000000000011000;0000000000110000;0000000000001100;0000000000011000;0000000000100100;1000000000110000;1000000000101000;1000000000101000;1000000000101000;1000000000100100;1000000000001100;0000000000010100;0000000000100100;0000000000000110;0000000000001100;1000000000110000;1000000000110000;1000000000010111;0000000000100010;0000000000011100;1000000000101000;1000000000101000;1000000000100100;1000000000110100;0000000000100010;1000000000001100;0000000000010010;0000000000111000;1000000000010000;0000000000111111;1000000000011000;1000000000010100;1000000000010010;1000000000111100;0000000000011000;1000000000101100;1000000000100010;1000000000101000;1000000000100010;0000000000011000;0000000000100100;1000000000010100;1000000000110000;0000000000000000;1000000000000000;0000000000001010;0000000000110000;0000000000011000;0000000000100100;0000000000110000;0000000000000110;1000000000110000;1000000000010010;0000000000110000;0000000000001100;0000000000010010;0000000000101000;0000000000000010;1000000000100100;0000000000110000;0000000000001100;1000000000101000;1000000000110000;0000000000100001;0000000000101000;1000000000111100;0000000000110000;1000000000010010;1000000000011100;1000000000000000;0000000000011000;1000000000110000;0000000000010100;1000000000110000;1000000000001100;0000000000101000;1000000000110000;1000000000001100;1000000000011000;1000000000011000;0000000000110000;1000000000100100;0000000000011000;1000000000001010;0000000000100100;0000000000010100;0000000000100100;0000000000001100;1000000000010100;1000000000110000;1000000000010100;0000000000000100;0000000000000000
1011000010100010;1111101100101000;0000000000100100;0000000000010100;1000000000001001;0000000000001001;1000000000001100;1000000000100010;0000000000011011;0000000000000110;0000000000100100;0000000000100000;1000000000001100;1000000000100010;1000000000011000;1000000000000000;1000000000101000;1000000000101000;0000000000001010;1000000000010100;0000000000011000;0000000000011000;1000000000100100;1000000000100100;1000000000010100;1000000000011000;0000000000100100;1000000000101000;1000000000101000;0000000000101000;1000000000001100;0000000000010100;0000000000100000;0000000000100000;1000000000001100;1000000000101100;1000000000110000;0000000000101000;1000000000011000;1000000000000000;1000000000001100;1000000000110000;1000000000100100;1000000000100100;0000000000100100;1000000000100100;0000000000101011;1000000000110000;1000000000001100;0000000000011000;1000000000011000;0000000000000000;0000000000000110;0000000000000000;1000000000101000;1000000000100010;1000000000110000;1000000000011000;0000000000011000;1000000000110000;0000000000100100;0000000000001100;1000000000001010;0000000000100010;1000000000011000;0000000000001100;1000000000010111;1000000000000110;1000000000001100;1000000000100100;0000000000000100;0000000000000000;0000000000000000;1000000000100100;1000000000101000;0000000000110000;0000000000000110;1000000000010100;1000000000100100;0000000000100100;0000000000000000;1000000000011000;1000000000010010;1000000000010100;0000000000110000;1000000000101000;0000000000110000;0000000000100010;1000000000000000;1000000000100010;0000000000000110;1000000000101000;1000000000110000;1000000000110000;1000000000001100;1000000000001100;1000000000001100;0000000000000000;0000000000101000;0000000000100100
0111010011010000;1001000001110001;0000000000110000;0000000000101000;0000000000010100;1000000000100100;1000000000001000;1000000000101011;1000000000001010;1000000000010100;1000000000001010;1000000000110010;1000000000111110;1000000000100100;1000000000010100;0000000000110000;1000000000101000;1000000000000000;0000000000110000;1000000000100100;1000000000010010;0000000000010010;0000000000011000;1000000000010100;0000000000101000;0000000000010010;1000000000101000;1000000000110000;1000000000011000;1000000000101000;1000000000110000;0000000000110010;1000000000100000;0000000000011000;1000000000011100;1000000000001010;1000000000001100;1000000000110000;1000000000101000;0000000000000100;1000000000001100;1000000000100000;1000000000101000;1000000000001100;0000000000001010;0000000000101000;1000000000101000;1000000000100100;0000000000110000;0000000000101111;1000000000101000;0000000000111100;1000000000101100;1000000000000110;1000000000001100;1000000000101000;0000000000000000;1000000000101000;1000000000111010;0000000000000000;1000000000011000;1000000000100111;0000000000100100;0000000000011000;1000000000101000;1000000000011000;1000000000111000;1000000000111100;1000000000100100;0000000000001100;0000000000000000;0000000000100100;0000000000110000;0000000000010100;1000000000010001;1000000000100100;0000000000100000;1000000000101100;1000000000001010;1000000000100000;1000000000000000;0000000000010100;1000000000001100;0000000000000000;0000000000000000;1000000000010100;0000000000101000;1000000000101000;1000000000100100;1000000000100100;0000000000010100;1000000000000100;1000000000010100;1000000000110000;1000000000001100;0000000000100100;0000000000000000;1000000000011000;1000000000010100;0000000000011010
1011100010011010;0000000000000101;1010010010000100;1000000000000110;0000000000001100;0000000000101000;1000000000001100;1000000000100100;0000000000100010;0000000000110000;0000000000010100;1000000000110000;0000000000001100;0000000000100010;1000000000000000;0000000000001100;0000000000010100;0000000000110000;1000000000101000;0000000000110000;0000000000001010;1000000000100010;1000000000000110;1000000000101000;1000000000001100;1000000000110000;1000000000100010;1000000000110000;1000000000101000;1000000000111000;1000000000101000;1000000000011000;1000000000100100;0000000000110011;1000000000011000;1000000000110111;1000000000110000;1000000000101000;0000000000011110;1000000000100010;0000000000001000;1000000000010100;1000000000100000;0000000000101000;0000000000100010;0000000000100100;1000000000000110;1000000000000011;1000000000110000;0000000000000000;1000000000010100;0000000000100100;0000000000110000;1000000000011000;1000000000011000;1000000000011111;1000000000010100;1000000000110000;0000000000110000;1000000000001100;0000000000100010;0000000000100100;1000000000010010;1000000000110000;0000000000101000;0000000000100010;1000000000001100;0000000000100100;1000000000000111;0000000000011000;0000000000011011;0000000000000000;1000000000110000;1000000000001100;0000000000010100;0000000000110000;0000000000011000;0000000000100100;0000000000110000;1000000000001111;0000000000010100;0000000000000010;1000000000010010;1000000000100100;1000000000010100;0000000000101000;0000000000010100;0000000000100100;0000000000100010;0000000000001111;1000000000010100;1000000000011000;1000000000011000;1000000000010001;1000000000000000;0000000000101000;0000000000010001;1000000000001100;1000000000110010;1000000000110000
1000001000001100;0001101000001011;1000000000110000;1000000000100001;1000000000001100;0000000000010100;1000000000000011;0000000000110000;0000000000110000;1000000000001100;0000000000110000;1000000000011000;1100000000001001;1000000000010100;0000000000110000;1000000000101000;1000000000110000;1000000000001100;0000000000010010;0000000000100100;0000000000011110;1000000000011000;0000000000001100;0000000000011000;1000000000101000;1000000000101000;1000000000110000;1000000000011000;0000000000101000;1000000000010100;1000000000101000;1000000000100010;1000000000010100;1000000000101000;1000000000110000;1000000000110000;1000000000110000;1000000000101000;1000000000011000;1000000000010100;1000000000010001;1000000000000000;1000000000100100;1000000000010000;1000000000110000;1000000000110100;1000000000001100;0000000000000000;1000000000000000;0000000000011000;0000000000001111;1000000000011000;1000000000111010;1000000000010010;1000000000110000;1000000000001100;1000000000110000;1000000000101110;0000000000000000;1000000000110010;0000000000011000;1000000000010010;1000000000001100;1000000000101000;0000000000000000;1000000000100100;1000000000100100;1000000000111010;1000000000011000;1000000000000000;0000000000001100;1000000000010100;1000000000101000;1000000000100000;0000000000000000;1000000000001100;0000000000001100;0000000000100000;1000000000100010;1000000000100100;0000000000010100;1000000000010100;1000000000100010;1000000000101000;0000000000110000;0000000000110000;0000000000110000;1000000000001100;1000000000000110;1000000000000000;1000000000010001;1000000000101000;1000000000110100;0000000000100100;1000000000100100;1000000000101000;1000000000010100;0000000000011110;0000000000011000;1000000000110000
1001101100001100;0101011111101010;1000000000101100;0000000000000000;1000000000000000;1000000000101000;1000000000010010;0000000000001100;0000000000100100;1000000000101000;0000000000101000;0000000000100000;0000000000101000;1000000000010010;0000000000000000;1000000000001100;0000000000010100;0000000000001100;0000000000001010;0000000000000111;1000000000001010;1000000000001100;0000000000001100;1000000000000100;0000000000010100;1000000000011000;1000000000000110;0000000000000000;0000000000001100;0000000000001100;1000000000001100;1000000000000110;1000000000001010;0000000000101000;0000000000010100;1000000000011000;0000000000110000;0000000000010100;1000000000011000;0000000000100001;1000000000100100;0000000000100010;0000000000100111;1000000000101000;1000000000101000;1000000000100100;1000000000101000;0000000000101000;1000000000000100;0000000000011000;1000000000101000;0000000000001001;1000000000100100;1000000000000000;0000000000011000;0000000000010010;0000000000100010;0000000000101000;1000000000011000;1000000000010100;1000000000100100;0000000000111010;0000000000110000;0000000000011000;0000000000001010;1000000000001010;1000000000010000;0000000000100100;0000000000100000;1000000000101000;0000000000010100;1000000000101000;1000000000000100;1000000000011000;1000000000010111;1000000000010010;0000000000001010;0000000000011100;0000000000010100;1000000000100100;1000000000100000;1000000000101000;0000000000110000;0000000000110000;1000000000001100;0000000000010100;0000000000100100;1000000000010010;1000000000011000;0000000000010100;1000000000001100;1000000000001100;1000000000011000;0000000000000110;1000000000100010;0000000000001100;1000000000001100;0000000000001100;1000000000011000;0000000000100100
1110111111100100;1000000000110000;0000011011100100;0000101000110110;0000000000011000;1000000000011000;1000000000100100;0000000000010100;0000000000101000;1000000000011000;0000000000111100;0000000000110000;0000000000010100;1000000000110000;0000000000100001;1000000000011000;0000000000101000;1000000000010100;1000000000100100;1000000000101000;0000000000100100;1000000000100010;1000000000001100;0000000000001010;0000000000001010;1000000000101000;1000000000001100;1000000000100100;1000000000000011;0000000000101000;1000000000000110;1000000000010100;1000000000011000;1000000000010010;1000000000100010;0000000000101000;0000000000010010;1000000000000000;0000000000101000;1000000000011000;0000000000010000;0000000000100011;0000000000001100;1000000000100100;0000000000110000;1000000000110000;0000000000111000;0000000000010010;1000000000011000;1000000000110000;0000000000011000;1000000000100010;1000000000110000;1000000000110000;0000000000001010;1000000000000110;1000000000110000;0000000000110000;1000000000100001;0000000000000000;1000000000100100;0000000000010010;1000000000011000;1000000000011000;0000000000000000;1000000000000010;0000000000010010;1000000000100100;0000000000011000;0000000000001100;1000000000100100;0000000000001100;1000000000001110;1000000000110000;0000000000011000;0000000000011000;0000000000010010;0000000000101000;1000000000101000;0000000000110000;0000000000110000;1000000000111000;0000000000100000;1000000000110000;0000000000100000;0000000000010000;0000000000001100;0000000000010010;0000000000101000;1000000000001100;0000000000100100;1000000000011000;0000000000110000;1000000000101101;1000000000000000;1000000000110000;0000000000010100;1000000000110000;1000000000110000;1000000000010100
1001010001111010;1000000000101000;1000000000010100;0000000000011000;0000000000101000;1000000000110000;1000000000100010;0000000000101000;1000000000011000;1010000000011000;1000000000001010;0000000000011000;1000000000000000;0000000000001010;0000000000010000;1000000000000110;0000000000011000;1000000000100111;1000000000000000;1000000000010010;1000000000010010;0000000000011010;0000000000110000;0000000000011000;1000000000110000;0000000000000110;1000000000110000;0000000000010100;0000000000100010;0000000000101000;0000000000100010;0000000000100100;1000000000010010;1000000000011100;0000000000011011;1000000000010010;0000000000011000;1000000000111000;1000000000000000;1000000000010100;1000000000100100;0000000000010111;1000000000010100;0000000000000110;1000000000100010;1000000000001000;1000000000110000;1000000000000000;0000000000000110;1000000000100100;0000000000001100;1000000000001100;0000000000000110;0000000000110000;1000000000000000;0000000000100010;1000000000010000;1000000000101000;1000000000010010;0000000000001100;0000000000010111;1000000000101000;0000000000001000;0000000000011000;1000000000001001;1000000000010100;1000000000001010;0000000000000011;0000000000001100;1000000000010100;1000000000000000;1000000000101000;0000000000000000;1000000000101000;1000000000100010;1000000000001100;0000000000100010;0000000000000110;1000000000110000;1000000000101011;0000000000111000;1000000000011000;1000000000010100;1000000000000000;1000000000001100;0000000000010111;1000000000000110;0000000000100100;1000000000110000;0000000000011000;0000000000001100;1000000000001000;1000000000011000;1000000000100100;1000000000111010;1000000000100100;0000000000101000;1000000000000000;0000000000011000;0000000000100010
