0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0011010010100010;0000000000001001;1001010000010010;0000000000001001;1000110000000000;1000000000010100;0000000000111100;1000000000100100;0000000000101010;1000000000110000;0000000000000000;1000000000001111;0000000000001100;1000000000101000;0000000000001100;1000000000110000;0000000000101000;0000000000110000;0000000000100100;1000000000000110;0000000000100100;1000000000100010;0000000000010010;0000000000110000;0000000000000000
1101101001100000;0000101001101000;0000000000001010;0000000000000010;1000000000100100;1000000000011000;1000000000001100;1000000000101000;0000000000100001;0000000000011000;1000000000000000;0000000000000011;0000000000000000;1000000000000000;0000000000001010;0000000000011000;0000000000101000;0000000000000000;1000000000011000;1000000000100010;1000000000101000;0000000000010100;1000000000111100;1000000000110000;1000000000101000
1010010001000100;0000000000001100;1000000000100001;0000000000001100;1000000000010100;0000000000010100;0000000000100100;0000000000100010;1000000000101101;0000000000101100;1000000000001111;1000000000000110;1000000000100010;0000000000100010;1000000000100100;0000000000001100;1000000000100010;1000000000100010;0000000000101100;0000000000011000;1000000000100010;0000000000101000;0000000000100100;1000000000001010;0000000000010111
1001110111100101;0001101110010100;1000000000011000;1000000000001100;1011000000110000;0000000000001001;1000000000110000;0000000000110110;0000000000100001;1000000000010010;1000000000100010;1000000000101000;0000000000011011;1000000000000110;1000000000100000;0000000000100000;0000000000100100;0000000000110000;0000000000011000;1000000000101000;0000000000110000;1000000000001100;0000000000010010;1000000000111000;1000000000101000
0010000010101011;1000000000001100;0000000000110000;0000000000010001;1000000000001001;1000000000001100;0000000000001111;1000000000100100;0000000000110000;0000000000001100;1000000000101000;0000000000101110;1000000000100010;1000000000100100;0000000000110000;0000000000101000;1000000000100100;0000000000100000;1000000000011000;1000000000000100;0000000000011000;1000000000110000;1000000000001010;0000000000010010;0000000000010100
0001100011110100;1000011100110000;0000000000110110;1000000000101000;0000000000001100;1000000000100010;1000000000101000;1000000000001100;0000000000001001;0000000000100010;0000000000110000;1000000000110100;1000000000101000;1000000000000110;1000000000110000;1000000000010010;1000000000001010;0000000000010000;1000000000000110;0000000000001100;0000000000000000;0000000000000000;1000000000000010;0000000000011000;1000000000001100
1001100001000110;0000000000100001;0000000000001100;1000000000101000;1000000000110000;0000000000100010;1000000000010010;1000000000000110;0000000000010010;0000000000001100;1000000000011101;0000000000101000;1000000000100111;0000000000100100;1000000000001010;0000000000110000;0000000000100010;1000000000010111;0000000000010100;1000000000100100;0000000000100110;1000000000110000;1000000000101000;0000000000110000;0000000000010100
0000000011100111;1000000000001010;1000000000111111;1000000000000101;1000000000011000;0000000000011111;1000000000100000;0000000000011000;1000000000101000;0000000000100000;0000000000110000;0000000000001010;0000000000000000;1000000000010100;0000000000010100;0000000000001010;0000000000010100;1000000000011000;0000000000100100;1000000000101000;1000000000110000;0000000000110100;0000000000110000;1000000000010010;0000000000011000
0100111000011000;1000000000000110;0000000000101000;0000000000110000;0000000000001000;0000000000001010;1000000000100001;0001010000011101;0000000000011110;0000000000100010;0000000000000011;0000000000000011;0000000000011011;1000000000010010;1000000000111010;0000000000011000;1000000000101000;1000000000000000;1000000000110000;0000000000110000;0000000000100110;1000000000101000;0000000000100010;0000000000000000;1000000000110100
