0;1;2;3;4;5;6;7;8;9
011000000101110000;000000000000000000;000000000000000000;000000000000000000;000000000000000000;000000000000000000;100000000000000000;000110000000000000;000000000000000000;000000000000000000
100100010100010000;100100010101110000;100100010101000000;000000000000000000;000000000000000000;000000000000000000;001110000001000100;100000000000000000;100000000000000000;000110000000000000
010111100000111110;000000000000000000;000000000000000000;100100010101000000;000000000000000000;000000000000000000;000000000000000000;000000000000000000;000000000000000000;100000000000000000
001110000100010011;000000000000000000;000000000000000000;100000000000000000;100000000000000000;000000000000000000;100000000000000000;100000000000000000;000110000000000000;000000000000000000
011110001011001001;000000000000000000;100000000000000000;000000000000000000;100000000000000000;100000000000000000;000000000000000000;000000000000000000;000000000000000000;000000000000000000
100001110001110011;000000000000000000;000000000000000000;000000000000000000;000000000000000000;000000000000000000;000000000000000000;000000000000000000;000000000000000000;000000000000000000
001001110100101101;001110000101001101;000000000000000000;100000000000000000;000000000000000000;000000000000000000;000000000000000000;000000000000000000;100000000000000000;000000000000000000
011000110111001011;001111100000110011;000000000000000000;000000000000000000;001111100001000100;100000000000000000;000000000000000000;000000000000000000;000000000000000000;000000000000000000
001100101010100011;100001111010110011;010000110101001011;001111100001000111;000000000000000000;001111100001000100;000000000000000000;000000000000000000;000000000000000000;100000000000000000
