# time;Intens
5.446674823760986328e-01;8.013834303710609674e-06
7.365257740020751953e-01;-1.352274239252437837e-06
8.343873023986816406e-01;-2.883003617171198130e-06
9.004409313201904297e-01;-2.058224481515935622e-06
9.058578014373779297e-01;9.174113074550405145e-06
9.488813877105712891e-01;8.195566806534770876e-06
9.989323616027832031e-01;-6.063287855795351788e-06
1.053175449371337891e+00;-3.064732254642876796e-06
1.085235834121704102e+00;4.812583028979133815e-06
1.131027936935424805e+00;-1.911442268465179950e-06
1.178189754486083984e+00;4.148568223172333091e-06
1.246830463409423828e+00;9.013352610054425895e-06
1.303689956665039062e+00;6.287398264248622581e-06
1.347563743591308594e+00;8.950445590016897768e-06
1.385782003402709961e+00;4.686772172135533765e-06
1.435799598693847656e+00;4.099639681953703985e-06
1.474001884460449219e+00;4.463100594875868410e-06
1.525076389312744141e+00;-1.499056565990031231e-06
1.570221900939941406e+00;3.952857241529272869e-06
1.604730129241943359e+00;8.174599315680097789e-06
1.636071205139160156e+00;-1.506045805399480741e-06
1.677375793457031250e+00;4.567947144096251577e-06
1.732675790786743164e+00;-1.387220549986523110e-06
1.777387380599975586e+00;4.470093699637800455e-06
1.834169387817382812e+00;2.561920837251818739e-06
1.880779743194580078e+00;-1.415181486663641408e-06
1.918181419372558594e+00;-6.189098257891600952e-06
1.956976413726806641e+00;-7.349377483478747308e-06
2.060634851455688477e+00;-1.177531089524563868e-06
2.093898057937622070e+00;-5.203562068345490843e-06
2.124365568161010742e+00;-1.296356344937521499e-06
2.182062387466430664e+00;5.448640422400785610e-06
2.241219282150268555e+00;5.490579951583640650e-06
2.280641555786132812e+00;4.351268216851167381e-06
2.322448492050170898e+00;-1.114623842113360297e-06
2.377418279647827148e+00;4.337289738032268360e-06
2.424700021743774414e+00;-9.398847282682254445e-07
2.497163057327270508e+00;-7.139688023016788065e-06
2.539554119110107422e+00;8.060157341560625355e-08
2.585237026214599609e+00;4.113621798751410097e-06
2.624546527862548828e+00;2.058666950688348152e-06
2.690151214599609375e+00;2.596871127025224268e-06
2.723015069961547852e+00;-8.979451990853704046e-07
2.779402732849121094e+00;-2.512553464839584194e-06
2.808412790298461914e+00;7.035288035694975406e-06
2.837487459182739258e+00;-7.441737466251652222e-07
2.874351263046264648e+00;4.008775249531026930e-06
2.926165103912353516e+00;-7.511629860346147325e-07
2.977162837982177734e+00;4.043725311930757016e-06
3.034470081329345703e+00;6.469126674346625805e-06
3.098858594894409180e+00;-3.980375822720816359e-06
3.145142555236816406e+00;9.076259630091954023e-06
3.181262016296386719e+00;3.910921805072575808e-06
3.233093261718750000e+00;-1.499056565990031231e-06
3.270660161972045898e+00;2.366213948334916495e-06
3.348035097122192383e+00;8.041795808821916580e-06
3.395855665206909180e+00;-7.580034889542730525e-06
3.462943553924560547e+00;7.175081009336281568e-06
3.502139091491699219e+00;4.365247150417417288e-06
3.547009229660034180e+00;8.971416718850377947e-06
3.576530933380126953e+00;3.715210823429515585e-06
3.623692989349365234e+00;-4.156630666329874657e-07
3.677555799484252930e+00;-6.545569704030640423e-06
3.707693815231323242e+00;8.272452760138548911e-06
3.738389492034912109e+00;5.768662276750546880e-07
3.774909973144531250e+00;3.631335857789963484e-06
3.822924375534057617e+00;5.553486971621168777e-06
3.880125045776367188e+00;3.505521362967556342e-06
3.926544427871704102e+00;-1.710233874518962693e-07
3.974283933639526367e+00;-5.832626357005210593e-06
4.007399559020996094e+00;8.188578249246347696e-06
4.042882919311523438e+00;6.280408797465497628e-06
