0;1;2;3;4;5;6;7;8;9
111110000001101011;100000000000000000;000000000000000000;000000000000000000;000000000000000000;100000000000000000;000000000000000000;100000000000000000;100000000000000000;100000000000000000
110111110101000000;000000000000000000;100000000000000000;100000000000000000;000000000000000000;100000000000000000;100000000000000000;000000000000000000;000000000000000000;000000000000000000
100111010101000101;100000000000000000;000000000000000000;000000000000000000;100000000000000000;000000000000000000;100000000000000000;000000000000000000;000000000000000000;000000000000000000
110001000000101110;000000000000000000;110001110100100100;100000000000000000;100000000000000000;100000000000000000;100000000000000000;000000000000000000;000000000000000000;000000000000000000
011011110110011110;000000000000000000;100000000000000000;000000000000000000;100000000000000000;000000000000000000;000000000000000000;100000000000000000;000000000000000000;100000000000000000
011010101100101011;110001000000000000;000000000000000000;000000000000000000;100000000000000000;100000000000000000;000000000000000000;000000000000000000;000000000000000000;000000000000000000
001110000001101001;011001110100100110;000000000000000000;100000000000000000;000000000000000000;000000000000000000;000000000000000000;100000000000000000;100000000000000000;100000000000000000
101011110101100011;111110000001101011;000000000000000000;000000000000000000;000000000000000000;000000000000000000;000000000000000000;000000000000000000;100000000000000000;000000000000000000
101001110100100110;011010101100101011;101011111100100011;110001111100100100;110001111101100001;000001000000000000;000000000000000000;100000000000000000;100000000000000000;000000000000000000
