# time;Intens
4.938542842864990234e-01;2.468358850649110536e-08
6.551277637481689453e-01;1.618320311536081135e-06
8.346474170684814453e-01;1.478527337894774973e-06
8.990952968597412109e-01;9.062281606020405889e-06
9.728367328643798828e-01;2.114584958690102212e-06
1.010102987289428711e+00;2.100606479871203192e-06
1.071580410003662109e+00;3.666286147563369013e-06
1.114808320999145508e+00;-1.813588710319891106e-06
1.165616512298583984e+00;2.303306700923712924e-06
1.202967643737792969e+00;2.310295940333162434e-06
1.238312005996704102e+00;9.285949090553913265e-06
1.267629146575927734e+00;2.617838845253572799e-06
1.320456266403198242e+00;9.403271405972191133e-07
1.351446628570556641e+00;-4.238989731675246730e-06
1.388967275619506836e+00;-7.335399004659848288e-06
1.513659715652465820e+00;2.988288997585186735e-06
1.544267892837524414e+00;-1.659817257859685924e-06
1.574313879013061523e+00;6.385251708707073703e-06
1.612937211990356445e+00;-2.059736203818829381e-07
1.656033515930175781e+00;3.582407089197658934e-06
1.712007761001586914e+00;-1.736702984089788515e-06
1.762818813323974609e+00;4.966354481439338997e-06
1.820828914642333984e+00;4.393207746034022421e-06
1.856367588043212891e+00;5.525526376004563645e-06
1.910634517669677734e+00;-4.819129571842495352e-06
1.954748392105102539e+00;7.853073839214630425e-06
2.014839887619018555e+00;-2.009299578276113607e-06
2.054691791534423828e+00;7.671345883863978088e-06
2.109881639480590820e+00;-4.504597200138960034e-06
2.142894983291625977e+00;-1.778642399585805833e-06
2.189738512039184570e+00;-5.049790615885285661e-06
2.225840330123901367e+00;-7.363355962297646329e-06
2.260075569152832031e+00;6.091687282605562359e-06
2.318701982498168945e+00;-7.293463568203151226e-06
2.373267173767089844e+00;6.895495062053669244e-06
2.412832021713256836e+00;6.448159183491952717e-06
2.460270404815673828e+00;7.189059488155180588e-06
2.519266605377197266e+00;-3.973386355937691405e-06
2.563566446304321289e+00;7.447677489835768938e-06
2.613778829574584961e+00;-4.399754743644734845e-06
2.660479784011840820e+00;7.755220394756179303e-06
2.714344024658203125e+00;8.090720257314387709e-06
2.752396106719970703e+00;5.693276307283667848e-06
2.786279201507568359e+00;-6.902041604917030782e-06
2.821733236312866211e+00;-5.175601017981534824e-06
2.855966806411743164e+00;7.762209861539304256e-06
2.908591508865356445e+00;-5.497126494447002187e-06
2.965451002120971680e+00;8.167609848896972835e-06
3.008666515350341797e+00;-3.232486051274463534e-06
3.042014360427856445e+00;-3.637882628027000464e-06
3.077671527862548828e+00;6.399230187525972724e-06
3.111562013626098633e+00;-7.419273970299400389e-06
3.162938356399536133e+00;8.559027264709584415e-06
3.208582162857055664e+00;-6.070276867831125855e-06
3.260698795318603516e+00;8.789685125520918518e-06
3.313961982727050781e+00;9.097228030441328883e-06
3.345535755157470703e+00;-6.936991667316760868e-06
3.378505945205688477e+00;5.113136467116419226e-06
3.414679050445556641e+00;-6.615466190851293504e-06
3.459254741668701172e+00;8.691831681062467396e-06
3.531355619430541992e+00;5.546493866859236732e-06
3.579581737518310547e+00;7.585946946164767724e-07
3.632195949554443359e+00;7.510580871894489974e-06
3.664478302001953125e+00;9.174113074550405145e-06
3.733730316162109375e+00;9.209064046444837004e-06
3.780328750610351562e+00;-3.288400193923735060e-06
3.812997102737426758e+00;-7.321420525840949267e-06
3.854877710342407227e+00;8.677852747496217489e-06
3.915142297744750977e+00;8.642902685096487403e-06
3.952917098999023438e+00;9.264981599699240178e-06
4.011837959289550781e+00;-7.601006473123561591e-06
4.068135261535644531e+00;8.894531674741301686e-06
4.128801345825195312e+00;2.631817324072471820e-06
4.162975311279296875e+00;9.181106179312337190e-06
4.226102828979492188e+00;-5.308404979587066919e-06
4.266518592834472656e+00;9.153145583695732057e-06
4.319682121276855469e+00;-6.797198693675454706e-06
4.372109889984130859e+00;8.971416718850377947e-06
4.412250518798828125e+00;-7.496159923903178424e-06
4.488122940063476562e+00;1.184962911793263629e-06
4.537647247314453125e+00;2.918392510764533654e-06
4.581467628479003906e+00;-7.517131507484009489e-06
4.621782779693603516e+00;-7.356366950261872262e-06
4.657574653625488281e+00;8.950445590016897768e-06
4.730287551879882812e+00;7.531552455475321040e-06
4.772294998168945312e+00;8.628923751530237496e-06
4.805168151855468750e+00;-3.707779114847653545e-06
4.845305919647216797e+00;-4.455668658920330927e-06
4.881640434265136719e+00;-7.342388016695622355e-06
4.918904304504394531e+00;-7.083774107741191983e-06
4.955089569091796875e+00;6.657848643953911960e-06
5.008882522583007812e+00;-6.992906037339707837e-06
