# time;Intens
1.185456514358520508e+00;7.655334775336086750e-04
1.381966829299926758e+00;7.722350419498980045e-04
1.491162538528442383e+00;7.504548411816358566e-04
1.561162948608398438e+00;7.911531138233840466e-04
1.621178388595581055e+00;7.479418418370187283e-04
1.621178388595581055e+00;7.490586722269654274e-04
1.651551485061645508e+00;7.920606294646859169e-04
1.671539545059204102e+00;7.778895669616758823e-04
1.701535463333129883e+00;7.483605877496302128e-04
1.751514911651611328e+00;7.894776645116508007e-04
1.810752630233764648e+00;7.493379525840282440e-04
1.847647190093994141e+00;7.753066602163016796e-04
1.917700290679931641e+00;7.487793918699026108e-04
1.957674980163574219e+00;7.907343097031116486e-04
1.997659683227539062e+00;7.494774763472378254e-04
2.048264741897583008e+00;7.905248203314840794e-04
2.097830057144165039e+00;7.527585257776081562e-04
2.127893447875976562e+00;7.507341215386986732e-04
2.147889137268066406e+00;7.905946695245802402e-04
2.197869539260864258e+00;7.494774763472378254e-04
2.247863292694091797e+00;7.858476019464433193e-04
2.298950433731079102e+00;7.492681033909320831e-04
2.349021434783935547e+00;7.931776344776153564e-04
2.403587818145751953e+00;7.529678987339138985e-04
2.433607339859008789e+00;7.587620639242231846e-04
2.463601112365722656e+00;7.926190737634897232e-04
2.493604898452758789e+00;7.527585257776081562e-04
2.543584108352661133e+00;7.931776344776153564e-04
2.594278097152709961e+00;7.490586722269654274e-04
2.641978502273559570e+00;7.882910431362688541e-04
2.701958894729614258e+00;7.533868192695081234e-04
2.737885951995849609e+00;7.720954017713665962e-04
2.797931909561157227e+00;7.496870239265263081e-04
2.847911357879638672e+00;7.931776344776153564e-04
2.907896995544433594e+00;7.494077435694634914e-04
2.947815418243408203e+00;7.924795500002801418e-04
2.998503684997558594e+00;7.520604413002729416e-04
3.028142213821411133e+00;7.498265476897358894e-04
3.058142900466918945e+00;7.866155938245356083e-04
3.098119258880615234e+00;7.480813073925673962e-04
3.148106336593627930e+00;7.923399098217487335e-04
3.198088407516479492e+00;7.489889394491910934e-04
3.258247852325439453e+00;7.894776645116508007e-04
3.298737287521362305e+00;7.530378061346709728e-04
3.328320503234863281e+00;7.489889394491910934e-04
3.348379611968994141e+00;7.890588603913784027e-04
3.399943113327026367e+00;7.487096590921282768e-04
3.464132070541381836e+00;7.841723272576928139e-04
3.494061708450317383e+00;7.485002279281616211e-04
3.544089078903198242e+00;7.912927540019154549e-04
3.594204187393188477e+00;7.515717297792434692e-04
3.624268054962158203e+00;7.483605877496302128e-04
3.644776582717895508e+00;7.911531138233840466e-04
3.694768428802490234e+00;7.480115746147930622e-04
3.744364261627197266e+00;7.912927540019154549e-04
3.794399976730346680e+00;7.519208011217415333e-04
