# tsize;time;corrperc
0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.000000000000000000e+01;1.141786575317382812e-03;1.000000000000000000e+02
2.000000000000000000e+01;2.005815505981445312e-03;1.000000000000000000e+02
3.000000000000000000e+01;2.995967864990234375e-03;1.000000000000000000e+02
4.000000000000000000e+01;3.005266189575195312e-03;1.000000000000000000e+02
5.000000000000000000e+01;3.399848937988281250e-03;1.000000000000000000e+02
6.000000000000000000e+01;6.131887435913085938e-03;1.000000000000000000e+02
7.000000000000000000e+01;5.125999450683593750e-03;1.000000000000000000e+02
8.000000000000000000e+01;7.685661315917968750e-03;1.000000000000000000e+02
9.000000000000000000e+01;9.686231613159179688e-03;1.000000000000000000e+02
1.000000000000000000e+02;9.053230285644531250e-03;1.000000000000000000e+02
