# tsize;time;corrperc
0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.000000000000000000e+02;8.210897445678710938e-03;1.000000000000000000e+02
2.000000000000000000e+02;1.723909378051757812e-02;1.000000000000000000e+02
3.000000000000000000e+02;3.241133689880371094e-02;1.000000000000000000e+02
4.000000000000000000e+02;3.556561470031738281e-02;1.000000000000000000e+02
5.000000000000000000e+02;4.607009887695312500e-02;1.000000000000000000e+02
6.000000000000000000e+02;5.591368675231933594e-02;1.000000000000000000e+02
7.000000000000000000e+02;7.571482658386230469e-02;1.000000000000000000e+02
8.000000000000000000e+02;9.207296371459960938e-02;1.000000000000000000e+02
9.000000000000000000e+02;1.073825359344482422e-01;1.000000000000000000e+02
1.000000000000000000e+03;1.240124702453613281e-01;1.000000000000000000e+02
1.100000000000000000e+03;1.221191883087158203e-01;1.000000000000000000e+02
1.200000000000000000e+03;1.374919414520263672e-01;1.000000000000000000e+02
1.300000000000000000e+03;1.487278938293457031e-01;1.000000000000000000e+02
1.400000000000000000e+03;1.699485778808593750e-01;1.000000000000000000e+02
1.500000000000000000e+03;1.976914405822753906e-01;1.000000000000000000e+02
1.600000000000000000e+03;2.030293941497802734e-01;1.000000000000000000e+02
1.700000000000000000e+03;2.285254001617431641e-01;1.000000000000000000e+02
1.800000000000000000e+03;2.503311634063720703e-01;1.000000000000000000e+02
1.900000000000000000e+03;2.816166877746582031e-01;1.000000000000000000e+02
2.000000000000000000e+03;3.469521999359130859e-01;1.000000000000000000e+02
2.100000000000000000e+03;3.552594184875488281e-01;1.000000000000000000e+02
2.200000000000000000e+03;3.710355758666992188e-01;1.000000000000000000e+02
2.300000000000000000e+03;3.646390438079833984e-01;1.000000000000000000e+02
2.400000000000000000e+03;3.896751403808593750e-01;1.000000000000000000e+02
2.500000000000000000e+03;4.282953739166259766e-01;1.000000000000000000e+02
2.600000000000000000e+03;4.819612503051757812e-01;1.000000000000000000e+02
2.700000000000000000e+03;5.236623287200927734e-01;1.000000000000000000e+02
2.800000000000000000e+03;5.494713783264160156e-01;1.000000000000000000e+02
2.900000000000000000e+03;6.150565147399902344e-01;1.000000000000000000e+02
3.000000000000000000e+03;5.842447280883789062e-01;1.000000000000000000e+02
3.100000000000000000e+03;6.186921596527099609e-01;1.000000000000000000e+02
3.200000000000000000e+03;6.809723377227783203e-01;1.000000000000000000e+02
3.300000000000000000e+03;6.800627708435058594e-01;1.000000000000000000e+02
3.400000000000000000e+03;7.328250408172607422e-01;1.000000000000000000e+02
3.500000000000000000e+03;7.144155502319335938e-01;1.000000000000000000e+02
3.600000000000000000e+03;7.871530055999755859e-01;1.000000000000000000e+02
3.700000000000000000e+03;8.302342891693115234e-01;1.000000000000000000e+02
3.800000000000000000e+03;8.645257949829101562e-01;1.000000000000000000e+02
3.900000000000000000e+03;9.073302745819091797e-01;1.000000000000000000e+02
4.000000000000000000e+03;9.383046627044677734e-01;1.000000000000000000e+02
4.100000000000000000e+03;9.861142635345458984e-01;1.000000000000000000e+02
4.200000000000000000e+03;1.038809299468994141e+00;1.000000000000000000e+02
4.300000000000000000e+03;1.201155185699462891e+00;1.000000000000000000e+02
4.400000000000000000e+03;1.152383089065551758e+00;1.000000000000000000e+02
4.500000000000000000e+03;1.154241800308227539e+00;1.000000000000000000e+02
4.600000000000000000e+03;1.152310371398925781e+00;1.000000000000000000e+02
4.700000000000000000e+03;1.225896120071411133e+00;1.000000000000000000e+02
4.800000000000000000e+03;1.239629507064819336e+00;1.000000000000000000e+02
4.900000000000000000e+03;1.274501085281372070e+00;1.000000000000000000e+02
5.000000000000000000e+03;1.315107107162475586e+00;1.000000000000000000e+02
5.100000000000000000e+03;1.456704139709472656e+00;1.000000000000000000e+02
5.200000000000000000e+03;1.424959421157836914e+00;1.000000000000000000e+02
5.300000000000000000e+03;1.458242177963256836e+00;1.000000000000000000e+02
5.400000000000000000e+03;1.628615856170654297e+00;1.000000000000000000e+02
5.500000000000000000e+03;1.614946842193603516e+00;1.000000000000000000e+02
5.600000000000000000e+03;1.668180942535400391e+00;1.000000000000000000e+02
5.700000000000000000e+03;1.696183443069458008e+00;1.000000000000000000e+02
5.800000000000000000e+03;1.817863941192626953e+00;1.000000000000000000e+02
5.900000000000000000e+03;1.811772823333740234e+00;1.000000000000000000e+02
6.000000000000000000e+03;1.880371570587158203e+00;1.000000000000000000e+02
6.100000000000000000e+03;1.873754739761352539e+00;1.000000000000000000e+02
6.200000000000000000e+03;2.041423320770263672e+00;1.000000000000000000e+02
6.300000000000000000e+03;1.968564033508300781e+00;1.000000000000000000e+02
6.400000000000000000e+03;2.132964372634887695e+00;1.000000000000000000e+02
6.500000000000000000e+03;2.139887094497680664e+00;1.000000000000000000e+02
6.600000000000000000e+03;2.160403728485107422e+00;1.000000000000000000e+02
6.700000000000000000e+03;2.361104726791381836e+00;1.000000000000000000e+02
6.800000000000000000e+03;2.303020715713500977e+00;1.000000000000000000e+02
6.900000000000000000e+03;2.444574832916259766e+00;1.000000000000000000e+02
7.000000000000000000e+03;2.473055124282836914e+00;1.000000000000000000e+02
7.100000000000000000e+03;2.522714138031005859e+00;1.000000000000000000e+02
7.200000000000000000e+03;2.604789018630981445e+00;1.000000000000000000e+02
7.300000000000000000e+03;2.622319698333740234e+00;1.000000000000000000e+02
7.400000000000000000e+03;2.690962791442871094e+00;1.000000000000000000e+02
7.500000000000000000e+03;2.744758844375610352e+00;1.000000000000000000e+02
7.600000000000000000e+03;2.905620336532592773e+00;1.000000000000000000e+02
7.700000000000000000e+03;2.914794683456420898e+00;1.000000000000000000e+02
7.800000000000000000e+03;2.960729360580444336e+00;1.000000000000000000e+02
7.900000000000000000e+03;3.074808597564697266e+00;1.000000000000000000e+02
8.000000000000000000e+03;3.120754241943359375e+00;1.000000000000000000e+02
8.100000000000000000e+03;3.201364040374755859e+00;1.000000000000000000e+02
8.200000000000000000e+03;3.415564060211181641e+00;1.000000000000000000e+02
8.300000000000000000e+03;3.316860198974609375e+00;1.000000000000000000e+02
8.400000000000000000e+03;3.469806909561157227e+00;1.000000000000000000e+02
8.500000000000000000e+03;3.522315740585327148e+00;1.000000000000000000e+02
8.600000000000000000e+03;3.632367372512817383e+00;1.000000000000000000e+02
8.700000000000000000e+03;3.781616687774658203e+00;1.000000000000000000e+02
8.800000000000000000e+03;3.934466838836669922e+00;1.000000000000000000e+02
8.900000000000000000e+03;3.896423339843750000e+00;1.000000000000000000e+02
9.000000000000000000e+03;3.843569040298461914e+00;1.000000000000000000e+02
9.100000000000000000e+03;4.092505216598510742e+00;1.000000000000000000e+02
9.200000000000000000e+03;3.991943120956420898e+00;1.000000000000000000e+02
9.300000000000000000e+03;4.221047163009643555e+00;1.000000000000000000e+02
9.400000000000000000e+03;4.379907608032226562e+00;1.000000000000000000e+02
9.500000000000000000e+03;4.347452878952026367e+00;1.000000000000000000e+02
9.600000000000000000e+03;4.345008611679077148e+00;1.000000000000000000e+02
9.700000000000000000e+03;4.399555444717407227e+00;1.000000000000000000e+02
9.800000000000000000e+03;4.578064441680908203e+00;1.000000000000000000e+02
9.900000000000000000e+03;4.669825553894042969e+00;1.000000000000000000e+02
1.000000000000000000e+04;4.754995107650756836e+00;1.000000000000000000e+02
