# time;Intens
1.461582422256469727e+00;3.654421016108244658e-04
1.841745138168334961e+00;3.563670325092971325e-04
2.135885000228881836e+00;3.514106501825153828e-04
2.143924713134765625e+00;3.586707462090998888e-04
2.152327537536621094e+00;3.630686260294169188e-04
2.356816768646240234e+00;3.650930593721568584e-04
2.413462638854980469e+00;3.505729255266487598e-04
2.441062450408935547e+00;3.555991279426962137e-04
2.446398019790649414e+00;3.594385925680398941e-04
2.531036853790283203e+00;3.507125657051801682e-04
2.544929742813110352e+00;3.578330215532332659e-04
2.561127424240112305e+00;3.655119217000901699e-04
2.574109554290771484e+00;3.616724570747464895e-04
2.580841541290283203e+00;3.576933813747018576e-04
2.588936328887939453e+00;3.530860121827572584e-04
2.596093654632568359e+00;3.489673545118421316e-04
2.604882478713989258e+00;3.442901943344622850e-04
2.616564989089965820e+00;3.519690944813191891e-04
2.803646087646484375e+00;3.449882497079670429e-04
2.922793626785278320e+00;3.509219677653163671e-04
3.056154966354370117e+00;3.655817417893558741e-04
3.293377161026000977e+00;3.500144812278449535e-04
3.304646492004394531e+00;3.441506123635917902e-04
3.313638210296630859e+00;3.518295125104486942e-04
3.798278808593750000e+00;3.474315453786402941e-04
3.805540800094604492e+00;3.440109721850603819e-04
3.970259904861450195e+00;3.546916414052248001e-04
3.996526241302490234e+00;3.479202277958393097e-04
4.004840850830078125e+00;3.448486968409270048e-04
4.012760162353515625e+00;3.515502903610467911e-04
4.043567657470703125e+00;3.567160747479647398e-04
4.053722381591796875e+00;3.634176682680845261e-04
4.061518669128417969e+00;3.648138372227549553e-04
4.158466339111328125e+00;3.652326995506882668e-04
4.282498359680175781e+00;3.556689480319619179e-04
4.379791259765625000e+00;3.579726035241037607e-04
4.559356689453125000e+00;3.653025196399539709e-04
4.763380050659179688e+00;3.543425991665571928e-04
4.795010566711425781e+00;3.490371746011078358e-04
4.804711341857910156e+00;3.446392365731298923e-04
4.812841415405273438e+00;3.503635234665125608e-04
4.843368530273437500e+00;3.560179902706295252e-04
4.854537010192871094e+00;3.636968904174864292e-04
5.029318332672119141e+00;3.506427456159144640e-04
5.045414924621582031e+00;3.574141592252999544e-04
5.141945838928222656e+00;3.552500857040286064e-04
5.149263858795166016e+00;3.602763172239065170e-04
5.156148910522460938e+00;3.642553929239511490e-04
5.269489765167236328e+00;3.634176682680845261e-04
5.276057243347167969e+00;3.604856901802122593e-04
5.284176349639892578e+00;3.557387681212276220e-04
5.398041248321533203e+00;3.472919634077697992e-04
5.407507896423339844e+00;3.434525278862565756e-04
5.424460411071777344e+00;3.520389145705848932e-04
5.444304466247558594e+00;3.573443391360342503e-04
5.454319477081298828e+00;3.639063506852835417e-04
5.474546909332275391e+00;3.559481701813638210e-04
5.492248535156250000e+00;3.507125657051801682e-04
5.501705169677734375e+00;3.456165140960365534e-04
5.512611389160156250e+00;3.502238832879811525e-04
5.544280529022216797e+00;3.564368525985628366e-04
5.553364276885986328e+00;3.628592239692807198e-04
5.564484596252441406e+00;3.643252130132168531e-04
5.575858592987060547e+00;3.603461373131722212e-04
5.585186004638671875e+00;3.552500857040286064e-04
5.593920707702636719e+00;3.500843013171106577e-04
5.624773025512695312e+00;3.501541214063763618e-04
5.644203186035156250e+00;3.562972124200314283e-04
5.652629852294921875e+00;3.629289858508855104e-04
5.823123931884765625e+00;3.500843013171106577e-04
5.845229148864746094e+00;3.579726035241037607e-04
5.852761268615722656e+00;3.627894038800150156e-04
5.982475280761718750e+00;3.536445146892219782e-04
5.997049331665039062e+00;3.485484921839088202e-04
6.158265590667724609e+00;3.648138372227549553e-04
6.259356021881103516e+00;3.647440171334892511e-04
6.438344001770019531e+00;3.530162794049829245e-04
6.530839920043945312e+00;3.512012481223791838e-04
6.685198783874511719e+00;3.553897258825600147e-04
6.848344802856445312e+00;3.597876348067075014e-04
7.025866985321044922e+00;3.498050791677087545e-04
7.177168846130371094e+00;3.551105037331581116e-04
7.365882873535156250e+00;3.655817417893558741e-04
7.527005195617675781e+00;3.513408300932496786e-04
7.698065757751464844e+00;3.475013654679059982e-04
7.857255935668945312e+00;3.650232974905520678e-04
8.022264480590820312e+00;3.514106501825153828e-04
8.193870544433593750e+00;3.510616079438477755e-04
8.314640998840332031e+00;3.528766392264515162e-04
8.487701416015625000e+00;3.539935569278895855e-04
8.656497001647949219e+00;3.654421016108244658e-04
8.833135604858398438e+00;3.514804702717810869e-04
9.002237319946289062e+00;3.464542387519031763e-04
9.124743461608886719e+00;3.533653216436505318e-04
9.290136337280273438e+00;3.530162794049829245e-04
9.454516410827636719e+00;3.651628794614225626e-04
9.587426185607910156e+00;3.552500857040286064e-04
9.711815834045410156e+00;3.522483748383820057e-04
9.891553878784179688e+00;3.527369699440896511e-04
1.003416919708251953e+01;3.525974170770496130e-04
1.011273574829101562e+01;3.523181076161563396e-04
1.028663825988769531e+01;3.562273923307657242e-04
1.043338871002197266e+01;3.525275969877839088e-04
1.055262088775634766e+01;3.643252130132168531e-04
1.063370037078857422e+01;3.522483748383820057e-04
1.078665828704833984e+01;3.566462546586990356e-04
1.095236206054687500e+01;3.646742552518844604e-04
1.112828731536865234e+01;3.530162794049829245e-04
1.127573013305664062e+01;3.626497637014836073e-04
1.138451862335205078e+01;3.564368525985628366e-04
1.147588729858398438e+01;3.582518838811665773e-04
1.149203681945800781e+01;3.541331388987600803e-04
1.149924564361572266e+01;3.501541214063763618e-04
1.150726127624511719e+01;3.465240588411688805e-04
1.161550903320312500e+01;3.537840966600924730e-04
1.172873878479003906e+01;3.535048745106905699e-04
1.183792972564697266e+01;3.554595459718257189e-04
1.198472595214843750e+01;3.573443391360342503e-04
1.199242496490478516e+01;3.539935569278895855e-04
1.215486907958984375e+01;3.667685086838901043e-04
1.233840942382812500e+01;3.559481701813638210e-04
1.250985717773437500e+01;3.459655563347041607e-04
1.254474735260009766e+01;3.597876348067075014e-04
1.255441856384277344e+01;3.664194664452224970e-04
1.257624721527099609e+01;3.577632014639675617e-04
1.259499359130859375e+01;3.525275969877839088e-04
1.262478733062744141e+01;3.528766392264515162e-04
1.264210319519042969e+01;3.580424236133694649e-04
1.265232467651367188e+01;3.653025196399539709e-04
1.267433357238769531e+01;3.599272749852389097e-04
1.269230079650878906e+01;3.544821811374276876e-04
1.270244884490966797e+01;3.484089102130383253e-04
1.272663402557373047e+01;3.543425991665571928e-04
1.274325466156005859e+01;3.588801482692360878e-04
1.275146389007568359e+01;3.646742552518844604e-04
1.277939128875732422e+01;3.616026369854807854e-04
1.278847122192382812e+01;3.558783500920981169e-04
1.279586696624755859e+01;3.525974170770496130e-04
1.280314064025878906e+01;3.477805876173079014e-04
1.281416988372802734e+01;3.532256523612886667e-04
1.284292602539062500e+01;3.588103281799703836e-04
1.285190296173095703e+01;3.651628794614225626e-04
1.287646484375000000e+01;3.599272749852389097e-04
1.289317321777343750e+01;3.534350544214248657e-04
1.290249443054199219e+01;3.487579524517059326e-04
1.293014430999755859e+01;3.527369699440896511e-04
1.294359970092773438e+01;3.590895503293722868e-04
1.295357608795166016e+01;3.664892283268272877e-04
1.308629226684570312e+01;3.588103281799703836e-04
1.310534286499023438e+01;3.470825031399726868e-04
1.318726348876953125e+01;3.569254768081009388e-04
1.331837844848632812e+01;3.526672371663153172e-04
